FIRST_NAME;LAST_NAME
Hanna Kornelius;Hjelde
Signe Kåre;Hartviksen
Klaudia Steven;Førre
Ela Ludvig;Bøthun
Fiona Ilyas;Øvsthus
Beatrice Piotr;Vist
Jasmin Eirik;Takle
Else Vemund;Sørmo
Margrete Georg;Storheim
Zofia Yasir;Slyngstad
Lovise Mohammed;Sinnes
Lykke Allan;Rustand
Adna Felix;Roen
Greta Helge;Nordland
Carina Bo;Melum
Milena Abdullahi;Langfeldt
Tina Malvin;Kvalø
Ea Antoni;Høgli
Tilda Eren;Holta
Joanna Viljar;Haugo
Mona Abel;Gjelsten
Stella Krystian;Aukland
Eira Leif;Todnem
Elin Scott;Søbstad
Alice Daniel;Presthus
Abigail Youssef;Levang
Khadija Jarle;Langaas
Aline Tarjei;Kaya
Eliza Emilio;Indergård
Renate Maximilian;Idsø
Åsne Asbjørn;Hordvik
Kristina Mons;Hella
Angelica Antonio;Heimstad
Karen Bjørnar;Gjønnes
Lucy Tomas;Ernstsen
Gabriele Elliott;Ekelund
Sofija Syed;Doan
Evelina Haakon;Tjøsvoll
Vega Kevin;Nordlund
Martina Steinar;Myrene
Weronika Elling;Melgård
Lilje Arne;Løvlie
Tirill Nicolay;Lehne
Angelika Eskild;Hellstrøm
Isa Richard;Frøystad
Sigrun Nikolay;Fimreite
Maren Conrad;Devik
Dorthea Dawid;Brattås
Cassandra Khalid;Aanerud
Eir Yasin;Wojcik
Alicia Mahdi;Valland
Amalie Henrik;Tungland
Sundus Viktor;Stokkan
Petra Tore;Ranum
Astrid Robert;Nesland
Heidi Casper;Kjølberg
Tia Mika;Husum
Marte Bernhard;Hegre
Mia Kjell;Emblem
Patrycja Falk;Digre
Mali Aksel;Belsvik
Elizabeth Luis;Skjevik
Lilly Diego;Røgeberg
Leana Jokubas;Onstad
Lana Marcus;Lindanger
Luca Tristan;Fadnes
Karianne Audun;Brunborg
Matilda Amandus;Ballestad
Seline Adam;Ånensen
Trine Sverre;Yilmaz
Annie Olve;Svenkerud
Amelija Endre;Skarstad
Alba Wojciech;Rørtveit
Cathrine Victor;Ravnås
Eva Lionel;Paus
Inger Ailo;Lundquist
Noor Nichlas;Kowalski
Milja Erling;Klev
Ellinor Erlend;Hilde
Emeli Tony;Hagberg
Kathrine Askil;Grebstad
Sannah Øystein;Folland
Magdalena Mohammad;Stavnes
Lotte Mattis;Nyseth
Adelina Dovydas;Hannisdal
Adriana Edgar;Fagerhaug
Celina Morten;Evju
Aleksandra Adnan;Buan
Lara Peter;Bringedal
Helmine Domas;Alsvik
Kaia Melvin;Øvstebø
Julianne Niklas;Zimmermann
Irene Jørgen;Westberg
Linde Thomas;Sønsterud
Marion Lasse;Skretteberg
Aurora Mathis;Skjervold
Eileen Herman;Sellæg
Iselin Natan;Raa
Gunhild Linus;Oliversen
Eliana Bendik;Lillemo
Othelia Eliah;Djønne
Melinda Mio;Buene
Ella Leo;Yang
Nelia Caspian;Træet
Cornelia Arin;Scheie
Ayla Olav;Rørstad
Ine Olander;Lindås
Marlene Johann;Langedal
Sarah Alf;Justad
Aria Fabian;Høgås
Yara Odin;Ekeli
Maida Brian;Brekka
Natalie Yahya;Bergseng
Jennie Ask;Aurstad
Guro Mikail;Åkre
Siri Ahmad;Rue
Christiane Timian;Rossebø
Karine Ravn;Rimstad
Tyra Nicolai;Midtskogen
Christina Emilian;Merkesdal
Sienna Matteus;Krogsæter
Margit Torben;Hustveit
Hedvig Odd;Hartveit
Madelene Kaspian;Dyrhaug
Amanda Anas;Cappelen
Aisha Dominic;Bjørnø
Noelle Levi;Vonheim
Mariell Kenneth;Trana
Eline Mateo;Thrane
Natalia Preben;Stordahl
Simone Edwin;Stokstad
Serine Bartosz;Lokøy
Henny Mikal;Kaupang
Amira Younes;Høiberg
Adelen Teodor;Hjorth
Eli Tobias;Hernæs
Kajsa Stian;Hageland
Lillie Håkon;Glad
Amy Vegar;Ås
Karoline Matteo;Tokle
Ines Eik;Smistad
Veronika Henning;Slåtten
Ingvild Rasmus;Skogvold
Ida Yosef;Skjelvik
Lise Tord;Seppola
Elli Tian;Sagstuen
Isabella Ole;Orre
Urte Ulrik;Ohnstad
Betina Dan;Mossige
Maya Selmer;Mikaelsen
Marthine Abdirahman;Medhus
Monika Sune;Lynum
Natasha Kjetil;Leirvåg
Marit Hermann;Kvandal
Sabrina Birk;Heim
Marta Lars;Haukenes
Muna Espen;Barka
Tine Emre;Bakkehaug
Rebecka Samson;Wright
Ariane Aleksander;Vetrhus
Ada Elijah;Uthus
Melisa Hallvard;Sætren
Lily Sven;Parveen
Ulla Peder;Nordtømme
Elly Sean;Njærheim
Aina Markas;Løkkeberg
Emina Josef;Leiknes
Emine Amar;Hodneland
Vanja Imran;Gunnerød
Nellie Mohamed;Flatøy
Kristiane Ragnar;Wollan
Lærke Tage;Thoen
Anisa John;Svanberg
Maud Elian;Oterhals
Valentina Emrik;Korsvik
Paulina Mahamed;Høglund
Fanny Jimmy;Horntvedt
Maryam Darin;Hjelm
Anine Salman;Hinna
Runa Gunnar;Haukedal
Nathalie Iver;Gjøsund
Elle Liam;Furuheim
Kine Emilis;Ekstrøm
Annika Bror;Bengtsson
Anniken Dag;Wisløff
Elma Ingmar;Wibe
Tiril Max;Wahlstrøm
Johanne Ivan;Sværen
Tale Arvin;Soltveit
Leonora Arthur;Olesen
Ingrid Håvard;Nedregård
Camilla Mustafa;Lopez
Ingeborg Sindre;Kvinnesland
Benedicte Vilmer;Josdal
Regine Oscar;Haddal
Isra Theodor;Grønvik
Freja Hubert;Elvenes
Iqra Mario;Østerud
Synnøve Sigurd;Wagner
Mikaela Theo;Todal
Kaya Noah;Søderholm
Helena Rolf;Sylta
Frøya Arian;Skinnes
Lerke Abdul;Oppegaard
Tomine Eskil;Morland
Nela Chris;Midthun
Jana Tor;Løtveit
Ellie Didrik;Løchen
Katja Isak;Hustoft
Lea Brynjar;Hammeren
Elisa Mikolaj;Eriksrud
Adela Damian;Askildsen
Amina Ørjan;Walseth
June Severin;Vestøl
Fatima Jonatan;Ulvik
Astri Olaf;Tessem
Tilja Kajus;Pilskog
Erika Jamie;Miljeteig
Jennifer Albert;Liverød
Kornelia Emmett;Lilleland
Veslemøy Otto;Lidal
Anneli Karol;Lehn
Emmy Mikael;Herheim
Emilia Iben;Bjørkmo
Molly Henry;Ånestad
Mathilda Amund;Valla
Linnea Fillip;Skotte
Ariel Omar;Omer
Erle Ayman;Mellemstrand
Lia Joachim;Krogsrud
Angelina Jaran;Isdahl
Katrina Isac;Høydahl
Amelia Martinius;Celius
Dorthe Arn;Aam
Emmeli Axel;Aa
Selina Torjus;Øvstedal
Eirin Hassan;Tesdal
Ava Wilmer;Sneve
Sina Cornelius;Skjærstad
Ronja Andreas;Raza
Madeleine Sivert;Mazur
Lydia Aaron;Hervik
Linea Leonard;Aabel
Carla Torbjørn;Størdal
Dania Vidar;Skålevik
Lone Svein;Skram
Mille Arnas;Refsland
Iman Runar;Kind
Emmeline Nojus;Grøtan
Enya Leon;Grønhaug
Irmelin Anthony;Fagerås
Ariana Trygve;Elnes
Sine Martinus;Dragland
Frida Christopher;Bratvold
Vårin Leonel;Westerlund
Marthe Isaac;Skavhaug
Aimee Patrick;Sevaldsen
Therese Emir;Remmen
Gabriela Eilif;Rahman
Ayesha Oskar;Olsrud
Jasmine Emmanuel;Nessa
Kamile Lucas;Marvik
Maia Ola;Hokstad
Stine Agnar;Hilleren
Yusra Teo;Brænden
Kamilla Ruben;Wisth
Milana Mats;Viddal
Sunniva Arham;Utgård
Mina Torgeir;Sjåvik
Emma Matias;Mongstad
Wilma Edvald;Kjelstad
Siril Sølve;Havik
Oda Musab;Hannestad
Carmen Sondre;Guldberg
Julia Dominik;Grøndal
Pernille Vetle;Folkedal
Lucia Kacper;Emanuelsen
Nelly Dominykas;Arctander
Mira Emil;Øiestad
Bettina Petter;Ytterstad
Olea Ådne;Weum
Susanna Adrian;Skevik
Evelyn Samuel;Ophus
Susanne Fredrik;Løset
Fredrikke Rafael;Leivestad
Elvira Nickolai;Leidland
Leah Steffen;Kvia
Elif Maksymilian;Kleppa
Karin Michael;Kim
Caroline Abdullah;Grønlie
Zuzanna Yusuf;Garshol
Ruth Jesper;Fyhn
Maria Mateusz;Frøysa
Lena Torstein;Fidjeland
Jenny Milian;Fagereng
Sonia Emin;Ensrud
Iben Marco;Asghar
Tindra Ian;Almaas
Nicole Franciszek;Thorgersen
Alea Thor;Suhr
Olava Ferdinand;Stokken
Idun Igor;Slettum
Amine Alvin;Selstad
Zara Lauritz;Sellevold
Line Dani;Nordrum
Selena Snorre;Munthe
Emily Joseph;Grannes
Aya Stein;Einvik
Amalia Jens;Dybwad
Aila Brede;Bergtun
Marielle Emanuel;Wickstrøm
Ana Jayden;Uthaug
Alida Bruno;Takvam
Melina Remi;Skjolden
Edda Frederik;Røyrvik
Elea Hauk;Røyland
Frøydis Edvin;Ross
Liv Ludvik;Oksnes
Elena Christoffer;Nome
Maiken Marius;Mørkved
Elida Jeppe;Melvold
Sonja Helmer;Malmedal
Malak Tim;Kjørstad
Louise Aram;Hollund
Jessica Christer;Hammerø
Sahar Jakub;Eggan
Freyja Kian;Bærheim
Iris Rayan;Berhane
Katharina Harald;Bakkejord
Marie Chrisander;Angvik
Sanne Hamza;Vestnes
Liepa Sjur;Solevåg
Rikke Noa;Skjønberg
Anette Magnus;Oskarsen
Thea Arijus;Nærø
Bianca Varg;Mehlum
Wiktoria Muhammed;Mehl
Mila Maciej;Koren
Villemo Erik;Iden
Malena Joel;Helliesen
Vilma Markus;Grønnestad
Kari William;Gangstad
Helin Aryan;Fossnes
Martha Phillip;Brandvik
Alva Tarik;Aarflot
Tora Wiktor;Westerheim
Alma Kim;Tverberg
Victoria Nathan;Tjelle
Karolina Amir;Størkersen
Millie Per;Staven
Solveig Aiden;Skogsrud
Ragna Ibrahim;Skagestad
Siham Edvard;Selle
Vilde Benas;Schanche
Celin August;Rongved
Una Lavrans;Nerli
Melissa Kristupas;Løvoll
Nila Sigmund;Laursen
Sabrin Imre;Langset
Lotta Elias;Hol
Leni Are;Englund
Milla Stefan;Bones
Nanna Matheo;Sætra
Lisa Denis;Storeide
Vilje Jack;Robberstad
Cindy Ayaan;Neumann
Agnethe Amin;Maudal
Anna Ridwan;Juell
Hanne Carsten;Holmstrøm
Hailey Matheus;Halsen
Paula Gard;Figenschau
May Trym;Bodin
Eleah Isa;Aanstad
Viola Konrad;Yildirim
Sandra Luca;Systad
Isabell Bastian;Sviland
Henriette Simon;Sundstrøm
Ugne Vebjørn;Sjøvoll
Idunn Oliwier;Røhne
Eiril Nils;Nuur
Synne Evan;Joa
Juni Nicholas;Hornnes
Vilja Filip;Herigstad
Inaya Walter;Eskedal
Zahra Edward;Emberland
Othelie Ahmed;Eldevik
Mari Torje;Brevig
Medina Ayub;Wille
Karla Julius;Wetteland
Janne Syver;Warholm
Daniela Carl;Tokerud
Kamila Storm;Skårdal
Serina Nataniel;Myrdal
Olivia Trond;Mjølhus
Tonje Millian;Lyshaug
Martine Jøran;Langholm
Madelen Kai;Kleiveland
Ester Lukas;Hylland
Live Alfred;Gunnestad
Dina Anders;Grimsmo
Savannah Hans;Ferstad
Juliane Terje;Evje
Kaisa Dexter;Andvik
Margrethe Ali;Alnæs
Selma Tymon;Aandal
Sumaya James;Vikanes
Kristin Nikolas;Vassdal
Inga Heine;Thorshaug
Åse Luka;Sommervold
Vivian Finn;Pihl
Marianne Vegard;Nygren
Katrine Philip;Mæle
Sol Simen;Moltu
Rachel Ben;Lenes
Michelle Gaute;Lade
Silja Viggo;Klakegg
Kjersti Jonah;Fossmark
Anny Jakob;Evanger
Esther Johnny;Wolff
Andrine Ivo;Welle
Amna Karl;Våga
Marwa Colin;Volle
Lene Mads;Throndsen
Amal Loke;Sæverud
Oline Kamil;Størksen
Bella Robin;Rikstad
Tea Einar;Rikardsen
Leja Vincent;Laastad
Ailin Balder;Kommedal
Othilie Nikodem;Gleditsch
Kaja Mattias;Flesland
Gabriella Ismail;Woldseth
Klara Vilhelm;Winger
Tuva Aune;Weberg
Sofia Danial;Valde
Mathea Noel;Ursin
Hafsa Maxim;Starheim
Julie Mathias;Opseth
Elina Ivar;Nodeland
Lycke Nico;Låstad
Rakel Halvor;Kyvik
Adine Thorvald;Gården
Adele Ryan;Grøterud
Alisa Nicklas;Gravem
Isabelle Kristoffer;Granmo
Siren Tommy;Fagervold
Erica Åsmund;Eltvik
Amelie Mikkel;Chan
Asta Martin;Broch
Eirill Amadeus;Østreng
Adina Bilal;Øiseth
Ane Knut;Valø
Yasmin Frank;Ulset
Miriam Christian;Tøsse
Kristine Zander;Thorsø
Anita Jacob;Skjølberg
Anea Eldar;Ottem
Zoe Kent;Ophaug
Karina Albin;Næs
Rebecca Troy;Myklebost
Hilde Joakim;Moradi
Katarina Pelle;Hestenes
Josefine Alexander;Gunnarsson
Bushra Even;Grøndalen
Leona Tinius;Førsund
Alette Yousef;Veiby
Emmi Kasper;Undrum
Alvilde Said;Tyldum
Stina Bernard;Teig
Kira Eric;Tang
Elise Brage;Strandberg
Norah Atle;Saleem
Liana Patrik;Risøy
Thelma Anton;Refseth
Benedikte Matthew;Nekstad
Mary Sebastian;Løge
Cecilie Magne;Lundgård
Freya Dennis;Kildahl
Annabell Marcel;Hojem
Nina Jone;Gunnarsen
Edel Tallak;Eeg
Ragnhild Armin;Sælen
Laura Sakarias;Sundgot
Sigrid Julian;Skille
Gabija Shawn;Schjerven
Dominika Benjamin;Sandvær
Josephine Alex;Sandland
Emilija Øyvind;Oland
Hedda Theodore;Obrestad
Zainab Sigve;Norderhaug
Hanan Jonas;Mandelid
Ingebjørg Szymon;Lindqvist
Mie Jonathan;Lilleberg
Agnes Marvin;Hellesø
Celine Gjermund;Hamid
Clara Artur;Dahlgren
Emilie Taha;Bjørnøy
Malene Gabriel;Aabø
Sara Neo;Vegsund
Thale Wilhelm;Tønsberg
Marina Eivind;Skøien
Åsta Michal;Schie
Emelie Kenan;Salbu
Eivor Jarand;Ræstad
Alexandra Halvard;Olsnes
Anne Harun;Molteberg
Hana Aron;Lundeby
Nora Andre;Liberg
Laiba Sam;Hvattum
Sophie Leander;Gjermundsen
Tilje Gustav;Gjengstø
Fride Joar;Gillebo
Elvine Alvar;Estensen
Mariel Samir;Edvartsen
Augusta Abdi;Dyrkorn
Elsa Hugo;Brastad
Tara Carlos;Bonsaksen
Nova Leonardo;Amble
Ylva Thorbjørn;Aalvik
Thilde Sofus;Stavenes
Nikola Charlie;Skogvoll
Celia Matas;Sjøthun
Nikoline Vinjar;Seldal
Lilli Karsten;Schanke
Saga Jon;Røv
Kayla Nicolas;Røisland
Cecilia Nikolai;Rykkje
Vida Alan;Rodal
Christine Muhammad;Narvestad
Tone Sturla;Muggerud
Sophia Sander;Kvien
Salma Laurits;Georgsen
Filippa Hussein;Frøshaug
Nicoline Edin;Fosen
Tilla Johannes;Finnesand
Vår Tormod;Evertsen
Aida Joshua;Djuve
Linda Nathaniel;Bugten
Mathilde Johan;Brudvik
Vera Pål;Aaseth
Charlotte David;Zielinski
Emely Olai;Steindal
Moa Niclas;Silva
Angela Elliot;Seeberg
Martyna Milo;Rezai
Luka Tom;Orvik
Samantha Lyder;Noreng
Annabelle Morgan;Moa
Anja Arman;Malde
Selin Silas;Lindgaard
Lilja Rune;Lerøy
Veronica Truls;Kvame
Liliana Solan;Herdlevær
Ingelin Jasper;Hatteland
Teja Zakaria;Evenrud
Mariam Paul;Abraha
Henrikke Hjalmar;Vaksdal
Rania Patryk;Underhaug
Ebba Jo;Ulland
Annabel Maximillian;Toresen
Rebekka Malik;Stephansen
Ema Geir;Sekkingstad
Marita Jan;Paasche
Halima Bjørn;Lundh
Helen Aslak;Lockert
Lillian Kristian;Laland
Pia Arvid;Kvaløy
Katinka Ken;Kleiv
Pauline Gustas;Kapstad
Samira Justin;Jensrud
Ina Milan;Fagerbakke
Embla Mohamad;Børsheim
Safa Oliver;Baustad
Helle Jostein;Alver
Najma Louis;Walde
Laila Olivier;Unhjem
Otilie Kornelius;Skailand
Aylin Kåre;Rekkedal
Tilia Steven;Opgård
Andrea Ludvig;Magerøy
Alina Ilyas;Lauten
Vanessa Piotr;Langørgen
Livia Eirik;Helvik
Åshild Vemund;Føreland
Ellen Georg;Åmodt
Silje Yasir;Wie
Elisabeth Mohammed;Vikane
Alise Allan;Vanvik
Felicia Felix;Syed
Nawal Helge;Strømsvåg
Arya Bo;Stormark
Lina Abdullahi;Sjaastad
Ulrikke Malvin;Rakvåg
Randi Antoni;Nissen
Louisa Eren;Nagy
Rose Viljar;Myreng
Liva Abel;Mostue
Malin Krystian;Lødemel
Gabrielle Leif;Ljosland
Oliwia Scott;Kvello
Isabel Daniel;Klein
Alicja Youssef;Isdal
Viktoria Jarle;Hestetun
Tilde Tarjei;Dalseth
Hannah Emilio;Buvarp
Sofie Maximilian;Bay
Hermine Asbjørn;Åsebø
Chloe Mons;Xu
Ann Antonio;Thuen
Gina Bjørnar;Taylor
Bertine Tomas;Stenstad
Agathe Elliott;Oppegård
Sanna Syed;Molden
Luna Haakon;Melberg
Diana Kevin;Lundekvam
Linn Steinar;Håpnes
Hennie Elling;Heskestad
Maja Arne;Gloppen
Aminda Nicolay;Gilde
Johanna Eskild;Drageset
Emmelin Richard;Wøien
Daniella Nikolay;Wisniewski
Nadia Conrad;Skaare
Anastasia Dawid;Omdahl
Helene Khalid;Nazari
Matilde Yasin;Kolle
Alisha Mahdi;Jordan
Hamdi Henrik;Heistad
Naomi Viktor;Hagos
Edith Tore;Gjersvik
Hanna Robert;Gjerdingen
Signe Casper;Flatmo
Klaudia Mika;Fjær
Ela Bernhard;Engenes
Fiona Kjell;Brække
Beatrice Falk;Andorsen
Jasmin Aksel;Østlund
Else Luis;Ørbeck
Margrete Diego;Yri
Zofia Jokubas;Svee
Lovise Marcus;Rognan
Lykke Tristan;Lilleeng
Adna Audun;Leirdal
Greta Amandus;Karlstrøm
Carina Adam;Jåsund
Milena Sverre;Jeppesen
Tina Olve;Hop
Ea Endre;Holmøy
Tilda Wojciech;Gjervik
Joanna Victor;Gjeruldsen
Mona Lionel;Frivold
Stella Ailo;Derås
Eira Nichlas;Bakkan
Elin Erling;Arnevik
Alice Erlend;Aae
Abigail Tony;Walberg
Khadija Askil;Tenold
Aline Øystein;Sæland
Eliza Mohammad;Skårland
Renate Mattis;Samnøy
Åsne Dovydas;Nøttveit
Kristina Edgar;Naalsund
Angelica Morten;Lehmann
Karen Adnan;Hauglid
Lucy Peter;Hasselberg
Gabriele Domas;Gonzalez
Sofija Melvin;Gjedrem
Evelina Niklas;Gimse
Vega Jørgen;Fykse
Martina Thomas;Allum
Weronika Lasse;Ølberg
Lilje Mathis;Wist
Tirill Herman;Weber
Angelika Natan;Ullestad
Isa Linus;Sætermo
Sigrun Bendik;Svanevik
Maren Eliah;Rossland
Dorthea Mio;Ramfjord
Cassandra Leo;Oshaug
Eir Caspian;Loen
Alicia Arin;Kvistad
Amalie Olav;Kofoed
Sundus Olander;Kara
Petra Johann;Jordalen
Astrid Alf;Harsvik
Heidi Fabian;Gussiås
Tia Odin;Farooq
Marte Brian;Fagertun
Mia Yahya;Einan
Patrycja Ask;Brækken
Mali Mikail;Bjørkheim
Elizabeth Ahmad;Birkeli
Lilly Timian;Bergsvik
Leana Ravn;Pladsen
Lana Nicolai;Nyvold
Luca Emilian;Natås
Karianne Matteus;Mørland
Matilda Torben;Mohamoud
Seline Odd;Mjånes
Trine Kaspian;Javed
Annie Anas;Indahl
Amelija Dominic;Husabø
Alba Levi;Harkestad
Cathrine Kenneth;Gjestad
Eva Mateo;Engstad
Inger Preben;Bakketun
Noor Edwin;Arif
Milja Bartosz;Amdam
Ellinor Mikal;Amdahl
Emeli Younes;Aarsand
Kathrine Teodor;Øksendal
Sannah Tobias;Vadseth
Magdalena Stian;Sjøstrøm
Lotte Håkon;Nereng
Adelina Vegar;Nelson
Adriana Matteo;Mæhre
Celina Eik;Jafari
Aleksandra Henning;Innvær
Lara Rasmus;Hovd
Helmine Yosef;Hoftun
Kaia Tord;Hevrøy
Julianne Tian;Heggestad
Irene Ole;Hasund
Linde Ulrik;Haarstad
Marion Dan;Gulli
Aurora Selmer;Foldnes
Eileen Abdirahman;Ekker
Iselin Sune;Eidsvåg
Gunhild Kjetil;Barmen
Eliana Hermann;Bakkeli
Othelia Birk;Ulvin
Melinda Lars;Tverå
Ella Espen;Stokkenes
Nelia Emre;Skurdal
Cornelia Samson;Skarsvåg
Ayla Aleksander;Sandhåland
Ine Elijah;Rudolfsen
Marlene Hallvard;Rokne
Sarah Sven;Resell
Aria Peder;Mohamad
Yara Sean;Kvinlaug
Maida Markas;Kvaale
Natalie Josef;Klungtveit
Jennie Amar;Kjærland
Guro Imran;Flataker
Siri Mohamed;Finnøy
Christiane Ragnar;Dinh
Karine Tage;Brubakken
Tyra John;Benonisen
Christina Elian;Østenstad
Sienna Emrik;Wong
Margit Mahamed;Wennevold
Hedvig Jimmy;Vaa
Madelene Darin;Tjørhom
Amanda Salman;Sveberg
Aisha Gunnar;Somby
Noelle Iver;Skuland
Mariell Liam;Rohde
Eline Emilis;Overvik
Natalia Bror;Nystrand
Simone Dag;Nordskag
Serine Ingmar;Nawaz
Henny Max;Lauvrak
Amira Ivan;Kjelsberg
Adelen Arvin;Grønlien
Eli Arthur;Fonnes
Kajsa Håvard;Fløysvik
Lillie Mustafa;Enes
Amy Sindre;Egenes
Karoline Vilmer;Braastad
Ines Oscar;Borsheim
Veronika Theodor;Vevang
Ingvild Hubert;Talberg
Ida Mario;Sviggum
Lise Sigurd;Spilde
Elli Theo;Smeland
Isabella Noah;Polden
Urte Rolf;Owren
Betina Arian;Mælen
Maya Abdul;Hjulstad
Marthine Eskil;Hexeberg
Monika Chris;Guldahl
Natasha Tor;Grinden
Marit Didrik;Fimland
Sabrina Isak;Brudevoll
Marta Brynjar;Breiland
Muna Mikolaj;Brataas
Tine Damian;Askevold
Rebecka Ørjan;Tewelde
Ariane Severin;Svihus
Ada Jonatan;Solbu
Melisa Olaf;Sandli
Lily Kajus;Ramadani
Ulla Jamie;Lillehagen
Elly Albert;Kulseth
Aina Emmett;Havnen
Emina Otto;Fjæreide
Emine Karol;Falkenberg
Vanja Mikael;Elvik
Nellie Iben;Elton
Kristiane Henry;Bjønness
Lærke Amund;Bjerkvik
Anisa Fillip;Bakkelund
Maud Omar;Alvær
Valentina Ayman;Vilhelmsen
Paulina Joachim;Stuen
Fanny Jaran;Skomedal
Maryam Isac;Sjøblom
Anine Martinius;Sarwar
Runa Arn;Røsten
Nathalie Axel;Røneid
Elle Torjus;Romsdal
Kine Hassan;Rinden
Annika Wilmer;Mollestad
Anniken Cornelius;Mehmood
Elma Andreas;Lorvik
Tiril Sivert;Lagesen
Johanne Aaron;Kongsrud
Tale Leonard;Ihlen
Leonora Torbjørn;Hilmarsen
Ingrid Vidar;Gustavson
Camilla Svein;Busk
Ingeborg Arnas;Wiker
Benedicte Runar;Tandstad
Regine Nojus;Sønstebø
Isra Leon;Svellingen
Freja Anthony;Schulz
Iqra Trygve;Rynning
Synnøve Martinus;Remen
Mikaela Christopher;Nørstebø
Kaya Leonel;Mogen
Helena Isaac;Meidell
Frøya Patrick;Løvberg
Lerke Emir;Lona
Tomine Eilif;Lausund
Nela Oskar;Lamo
Jana Emmanuel;Kværner
Ellie Lucas;Korslund
Katja Ola;Johnstad
Lea Agnar;Hult
Elisa Teo;Hobberstad
Adela Ruben;Hesselberg
Amina Mats;Haidari
June Arham;Gravdahl
Fatima Torgeir;Gjerløw
Astri Matias;Daleng
Tilja Edvald;Bruaset
Erika Sølve;Amlie
Jennifer Musab;Alsos
Kornelia Sondre;Ørmen
Veslemøy Dominik;Ølmheim
Anneli Vetle;Wu
Emmy Kacper;Vikene
Emilia Dominykas;Urstad
Molly Emil;Tennfjord
Mathilda Petter;Sønderland
Linnea Ådne;Sumstad
Ariel Adrian;Storsve
Erle Samuel;Smedstad
Lia Fredrik;Nyhuus
Angelina Rafael;Nore
Katrina Nickolai;Mardal
Amelia Steffen;Kjesbu
Dorthe Maksymilian;Hallingstad
Emmeli Michael;Gjøen
Selina Abdullah;Flage
Eirin Yusuf;Dramstad
Ava Jesper;Buraas
Sina Mateusz;Bjørkum
Ronja Torstein;Tørstad
Madeleine Milian;Surdal
Lydia Emin;Skjerping
Linea Marco;Skjeggestad
Carla Ian;Skarshaug
Dania Franciszek;Ressem
Lone Thor;Ramsøy
Mille Ferdinand;Mollan
Iman Igor;Langemyr
Emmeline Alvin;Krosby
Enya Lauritz;Klyve
Irmelin Dani;Hemnes
Ariana Snorre;Helgøy
Sine Joseph;Fosser
Frida Stein;Blomvik
Vårin Jens;Beyer
Marthe Brede;Bakstad
Aimee Emanuel;Aandahl
Therese Jayden;Øynes
Gabriela Bruno;Tømmervik
Ayesha Remi;Tryggestad
Jasmine Frederik;Thingstad
Kamile Hauk;Synnevåg
Maia Edvin;Stavem
Stine Ludvik;Skjerdal
Yusra Christoffer;Rønhovde
Kamilla Marius;Rosvoll
Milana Jeppe;Qvale
Sunniva Helmer;Mjåland
Mina Tim;Lysne
Emma Aram;Lundestad
Wilma Christer;Langen
Siril Jakub;Kolseth
Oda Kian;Jordheim
Carmen Rayan;Herfindal
Julia Harald;Heggset
Pernille Chrisander;Hana
Lucia Hamza;Frisvold
Nelly Sjur;Ågotnes
Mira Noa;Ugelstad
Bettina Magnus;Sundfær
Olea Arijus;Storlien
Susanna Varg;Rolfsnes
Evelyn Muhammed;Monge
Susanne Maciej;Klavenes
Fredrikke Erik;Kjøde
Elvira Joel;Hermann
Leah Markus;Hallberg
Elif William;Grønberg
Karin Aryan;Gjernes
Caroline Phillip;Gaard
Zuzanna Tarik;Fedje
Ruth Wiktor;Ertsås
Maria Kim;Dalsbø
Lena Nathan;Dalaker
Jenny Amir;Burud
Sonia Per;Brænd
Iben Aiden;Øvland
Tindra Ibrahim;Tvenge
Nicole Edvard;Tonstad
Alea Benas;Tolo
Olava August;Sulen
Idun Lavrans;Skjervheim
Amine Kristupas;Rodriguez
Zara Sigmund;Rage
Line Imre;Pleym
Selena Elias;Nepstad
Emily Are;Mørck
Aya Stefan;Melbø
Amalia Matheo;Malnes
Aila Denis;Lilleengen
Marielle Jack;Lekve
Ana Ayaan;Knotten
Alida Amin;Kjeilen
Melina Ridwan;Jevnaker
Edda Carsten;Hovdal
Elea Matheus;Hellenes
Frøydis Gard;Grimnes
Liv Trym;Engseth
Elena Isa;Engelund
Maiken Konrad;Eidsheim
Elida Luca;Drevland
Sonja Bastian;Demir
Malak Simon;Aarland
Louise Vebjørn;Øvrevik
Jessica Oliwier;Wanvik
Sahar Nils;Utnes
Freyja Evan;Unneland
Iris Nicholas;Tvedten
Katharina Filip;Trinh
Marie Walter;Toverud
Sanne Edward;Søndenå
Liepa Ahmed;Storaker
Rikke Torje;Røsnes
Anette Ayub;Roberg
Thea Julius;Richter
Bianca Syver;Okkenhaug
Wiktoria Carl;Mjønes
Mila Storm;Midttveit
Villemo Nataniel;Lu
Malena Trond;Kibsgaard
Vilma Millian;Ivanov
Kari Jøran;Isene
Helin Kai;Hånes
Martha Lukas;Hovin
Alva Alfred;Hellan
Tora Anders;Hegglund
Alma Hans;Hatløy
Victoria Terje;Fuglem
Karolina Dexter;Engebråten
Millie Ali;Bøhmer
Solveig Tymon;Azizi
Ragna James;Ahlsen
Siham Nikolas;Abdulla
Vilde Heine;Aktunovic
Celin Luka;Antanaviciuté
Una Finn;Aperaviciuté
Melissa Vegard;Arnaityté
Nila Philip;Arutiunian
Sabrin Simen;Augustyté
Lotta Ben;Augutyté
Leni Gaute;Auzbikaviciené
